"Add Company Role","Rolle hinzufügen"
"Assigned Permissions","Zugewiesene Berechtigungen"
"Assigned Roles","Zugewiesene Rollen"
"Back to Roles","Zurück zu den Rollen"
"Company Account",Firmenkonto
"Company Business Unit","Geschäftseinheit des Unternehmens"
"Company role deletion confirmation","Löschen der Rolle bestätigt"
"Company Roles",Firmenkontorollen
"Create Company Role","Rolle erstellen"
"Create role","Rolle erstellen"
"Edit Company Role","Rolle bearbeiten"
"Is Default","Ist Standard"
"It will be deleted from everywhere","Wird überall gelöscht"
"List of Company Roles","Liste der Rollen"
"Overview of Company Roles","Übersicht der Rollen"
"Role ID",Rollen-ID
Roles,Rollen
"Unassigned Permissions","Nicht zugewiesene Berechtigungen"
"Unassigned Roles","Nicht zugewiesene Rollen"
"Update role","Rolle aktualisieren"
"You are trying to delete company role","Sie versuchen, die Unternehmensrolle zu löschen."
"Select company","Firma auswählen"
"Please select an item in the list.","Wählen Sie bitte ein Element aus der Liste aus."
"Company role has been successfully created","Rolle wurde erfolgreich erstellt"
"Company role has been successfully updated","Rolle wurde erfolgreich aktualisiert"
"Delete company role","Rolle löschen"
"Company role has been successfully removed","Rolle wurde erfolgreich gelöscht"
"You can not delete a default role, please set another default role before delete action","Sie können eine Standardrolle nicht löschen. Bitte  eine andere Standardrolle vor dem Löschen setzen."
