"# of Other Labels","# anderer Labels"
"# of Products","# von Produkten"
Activate,Aktivieren
Active,Aktiv
"Applied Products","Angewandte Produkte"
"Are you sure you want to delete this product label?","Möchten Sie dieses Produktlabel wirklich löschen?"
"Assigned products","Zugeordnete Produkte"
"Available products","Verfügbare Produkte"
"Back to Product Labels","Zurück zu Produktlabels"
Behavior,Verhalten
Categories,Kategorien
"Create a Product Label","Produktlabel erstellen"
"Create Product Label","Produktlabel erstellen"
"De-select all","Alle Markierungen aufheben"
Deactivated,Deaktiviert
"Delete Product Label","Produktlabel löschen"
Delete,Löschen
"Edit Product Label","Produktlabel bearbeiten"
Edit,Bearbeiten
"Front-end Reference",Front-End-Referenz
General,Allgemein
ID,ID
"Is Active","Ist aktiv"
"Is Dynamic","Ist dynamisch"
"Is Exclusive","Ist exklusiv."
"List of Product Labels","Liste der Produktlabels"
"Missing or wrong request data","Fehlende oder falsche Abfragedaten"
N/A,N/A
Name,Name
"No, I want to keep this product label","Nein, ich möchte dieses Produktlabel behalten"
No,Nein
"Overview of Product Labels","Übersicht über Produktlabels"
"Prioritize Product Labels","Produktlabel priorisieren"
Priority,Priorität
"Product label #%d successfully updated.","Produktlabel #%d erfolgreich aktualisiert."
"Product label #%d was successfully deleted.","Produktlabel #%d wurde erfolgreich gelöscht."
"Product label priority updated successfully.","Priorität des Produktlabels erfolgreich aktualisiert."
"Product label removal confirmation","Bestätigung der Entfernung des Produktlabels"
"Product Labels",Produktlabels
"Products Applied to","Zutreffende Produkte"
"Products for this label are assigned dynamically, you can't manage relations manually.","Produkte für dieses Label werden dynamisch zugewiesen – Sie können Beziehungen nicht manuell verwalten."
"Products to which this label applies","Produkte, auf die dieses Label zutrifft"
Save,Speichern
"Select all","Alle auswählen"
"Selected products to assign","Ausgewählte Produkte, die zugeordnet werden sollen"
"Selected products to de-assign","Ausgewählte Produkte, deren Zuordnung rückgängig gemacht werden soll"
Settings,Einstellungen
Status,Status
"Store relation","Store Beziehung"
Stores,Stores
Translations,Übersetzungen
"This product has already assigned to the given label","Dieses Produkt wurde bereits dem angegebenen Labels zugeordnet"
"This product has not been assigned to the given label","Dieses Produkt wurde nicht dem angegebenen Labels zugeordnet"
"Valid from","Gültig von"
"Valid to","Gültig bis"
Validity,Gültigkeit
"View Product Label","Produktlabel ansehen"
View,Ansicht
"Yes, delete this product label","Ja, löschen Sie dieses Produktlabel"
Yes,Ja
