"Back to Translations","Zurück zu Übersetzungen"
"Create Translation","Übersetzung erstellen"
"Edit Translation","Übersetzung bearbeiten"
Glossary,Glossar
"Glossary entry was not updated.","Glossareintrag wurde nicht aktualisiert."
"Glossary with id %s doesn't exist","Glossareintrag %s existiert nicht."
"List of translations","Liste der Übersetzungen"
"Overview of Translations","Übersicht der Übersetzungen"
Save,Speichern
"Translation %d was created successfully.","Übersetzung %d wurde erfolgreich erstellt."
"Translation %d was updated successfully.","Übersetzung %d wurde erfolgreich aktualisiert."
"Translation details",Übersetzungsdetails
