Actions,Aktionen
"Add list","Liste hinzufügen"
"Are you sure you want to remove this list? Removing this list will also remove all associated functionalities.","Sind Sie sicher, dass Sie diese Liste entfernen möchten? Durch das Entfernen dieser Liste werden auch alle zugehörigen Funktionalitäten entfernt."
"Assign Categories","Kategorien zuweisen"
"Assign Products","Produkte zuweisen"
Back,Zurück
"Back to Product Lists","Zurück zu Produktlisten"
Blacklist,"Schwarze Liste"
"Business Unit Owner Name","Name des Geschäftseinheiten-Inhabers"
Cancel,Abbrechen
"Confirm action","Aktion bestätigen"
"Create a Product List","Produktliste erstellen"
"Edit List","Liste bearbeiten"
"Edit Product List","Produktliste bearbeiten"
Export,Exportieren
ID,ID
"ID Merchant Relation","ID der Händlerbeziehung"
"Import Product List","Produktliste importieren"
"List of Product lists","Liste der Produktlisten"
"Merchant Name",Händlername
"Merchant relationship",Händlerbeziehung
Name,Name
"Overview of Product lists","Übersicht der Produktlisten"
"Owner Type",Inhaberart
"Please ensure you saved information","Bitte stellen Sie sicher, dass Sie Informationen gespeichert haben"
"Product label #%d successfully created.","Produktetikett #% d wurde erfolgreich erstellt."
"Product List ""%s"" has been successfully created.","Produktliste ""%s"" wurde erfolgreich erstellt."
"Product List ""%s"" has been successfully updated.","Produktliste ""%s"" wurde erfolgreich aktualisiert."
"Product List has been successfully removed.","Produktliste wurde erfolgreich entfernt."
"Product List removal confirmation","Löschen der Produktliste bestätigt"
"Product Lists",Produktlisten
"Products in this list","Produkte in dieser Liste"
"Remove List","Liste entfernen"
Save,Speichern
"Select Products to assign","Produkte zur Zuweisung auswählen"
Selected,Ausgewählt
SKU,SKU
Title,Titel
Type,Typ
"Used By","Verwendet von"
Whitelist,Whitelist
Сonfirm,Bestätigen
