Parent,Oberkategorie
Yes,Ja
No,Nein
"Re-sort child categories","Unterkategorien neu ordnen"
"Add category to this node","Kategorie zu diesem Knotenpunkt hinzfügen"
"Edit Category","Kategorie bearbeiten"
"Allow to search for this category","Die Suche nach dieser Kategorie ermöglichen"
"CMS Blocks:top","CMS-Blöcke: oben"
"CMS Blocks:middle","CMS-Blöcke: mitte"
"CMS Blocks:bottom","CMS-Blöcke: unten"
"Category key",Kategorieschlüssel
"-Select value-","-Wert auswählen-"
Active,Aktiv
"Add Category to this Node","Kategorie zu diesem Knoten hinzufügen"
"Additional Parents","Weitere Parents"
"Allow to search for this category:","Die Suche nach dieser Kategorie ermöglichen:"
"Assign products","Produkte zuweisen"
"Assign Products to this Category","Produkte dieser Kategorie zuweisen"
Category,Kategorien
"Category Key",Kategorieschlüssel
"Category key:",Kategorieschlüssel:
"Category nodes successfully re-sorted.","Kategorieknoten erfolgreich umsortiert."
"Category nodes successfully reordered.","Kategorieknoten erfolgreich neu geordnet."
"Category status",Kategorie-Status
"Category template",Kategorievorlage
"Category with id %s doesn't exist","Kategorie mit der ID %s existiert nicht"
Create,Erstellen
"Create category","Kategorie erstellen"
"Create Category","Kategorie erstellen"
Delete,Löschen
"Delete category","Kategorie löschen"
Edit,Bearbeiten
"Edit category","Kategorie bearbeiten"
"In Menu","Im Menü"
Inactive,Inaktiv
"List Categories","Liste der Kategorien"
"List of categories","Liste der Kategorien"
no,Nein
"Not in Menu","Nicht im Menü"
"Please make sure required fields are properly filled in","Bitte überprüfen, ob alle erforderlichen Felder korrekt ausgefüllt sind"
"Re-sort Child Categories","Unterkategorien umsortieren"
"Re-sort child-categories","Unterkategorien umsortieren"
"Root nodes list",Wurzelknotenliste
Save,Speichern
"Save Order","Bestellung speichern"
Searchable,Suchbar
"The category was added successfully.","Die Kategorie wurde erfolgreich hinzugefügt."
"The category was saved successfully.","Die Kategorie wurde erfolgreich gespeichert."
"The category was updated successfully.","Die Kategorie wurde erfolgreich aktualisiert."
"The category was deleted successfully.","Die Kategorie wurde erfolgreich gelöscht.."
Translations,Übersetzungen
View,Ansicht
"View category","Kategorie anzeigen"
Visible,Sichtbar
"Visible in the category tree","Sichtbar im Kategorienbaum"
"Visible in the category tree:","Sichtbar im Kategorienbaum:"
yes,Ja
"Yes, I am sure","Ja, ich bin sicher."
"View Category","Kategorie Anzeigen"
"CSRF token is not valid.","CSRF-Token ist ungültig."
