"Add Merchant User","Benutzer für Verkäufer anlegen"
Back,Zurück
"Back to Merchant Users","Zurück zu Händlerbenutzern"
Deactivate,Deaktivieren
Deactivated,Deaktiviert
Delete,Löschen
Deleted,Gelöscht
Create,Erstellen
"It will be deleted from everywhere","Wird überall gelöscht"
"Merchant user ID is incorrect.","Verkäufer-Benutzerbeziehung ID Bestellungsformat."
"Merchant user was deleted successfully.","Verkäufer-Benutzerbeziehung wurde erfolgreich gelöscht."
"Merchant user was not deleted.","Verkäufer-Benutzerbeziehung konnte nicht gelöscht."
"No users can be added till the merchant has been created. Please, add the required merchant information and save it.","Es können keine Benutzer hinzugefügt werden bis ein Verkäufer erstellt wurde. Fügen Sie alle erforderlichen Verkäuferinformationen hinzu und speichern Sie sie."
Save,Speichern
"User status can't be updated.","Der Benutzerstatus kann nicht aktualisiert werden."
"User status has been updated.","Der Benutzerstatus wurde aktualisiert."
Users,Benutzer
"You are trying to delete merchant user","Sie versuchen, die Verkäufer-Benutzerbeziehung zu löschen."
"Merchant user was successfully created.","Der Verkäuferbenutzer wurde erfolgreich erstellt."
Edit,Bearbeiten
Activate,Aktivieren
Active,Aktiv
E-mail,E-mail
Status,Status
"Last Name",Nachname
"First Name",Vorname
