Actions,Aktionen
asset,Asset
"Attach entity","Entität anhängen"
"Attached To","Zugeordnet zu"
Back,Zurück
"Create File Attachment","Dateianhang erstellen"
"Date Attached","Datum zugeordnet"
Details,Einzelheiten
"Delete File","Datei löschen"
"File Attachments",Dateianhänge
"File Attachment",Dateianhang
"File Name",Dateiname
"File with ID ""%id%"" does not exist.","Datei mit ID ""%id%"" existiert nicht."
File,Datei
ID,ID
"Linked Entities","Verknüpfte Entitäten"
"List of File Attachments","Liste der Dateianhänge"
Reference,Referenz
Size,Größe
Type,Typ
"Unlink all","Alle Verknüpfungen aufheben"
"Upload date",Hochladedatum
"View File Attachments","Dateianhänge anzeigen"
"Business entity name","Name der Geschäftseinheit"
Company,Unternehmen
company,Firmenname
"Company User",Firmenkontonutzer
company_user,Firmenkontonutzer
"Company Business Unit",Geschäftseinheit
company_business_unit,Geschäftseinheit
ssp_asset,Asset
"Upload Files","Dateien hochladen"
"Back to File List","Zur Dateiliste zurück"
Upload,Hochladen
"Please upload valid documents (PDF) or images (JPEG, PNG)","Bitte laden Sie gültige Dokumente (PDF) oder Bilder (JPEG, PNG) hoch"
"Please select a file to upload","Bitte eine Datei auswählen"
"The files were added successfully.","Die Dateien wurden erfolgreich hinzugefügt."
"Upload file","Datei hochladen"
"File was successfully removed.","Datei wurde erfolgreich entfernt."
"File cannot be removed.","Datei kann nicht entfernt werden."
"File attachment successfully unlinked.","Verknüpfung des Dateianhangs erfolgreich aufgehoben."
"File attachments successfully unlinked.","Verknüpfung der Dateianhänge erfolgreich aufgehoben."
"Confirm action","Aktion bestätigen"
Confirm,Bestätigen
Cancel,Abbrechen
Save,Speichern
"Are you sure you want to delete file?","Möchten Sie die Datei wirklich löschen?"
"Are you sure you want to delete this file?","Möchten Sie diese Datei wirklich löschen?"
"Date From","Datum von"
"Date To","Datum bis"
"Select type","Typ auswählen"
"Select business entity type","Geschäftsentitätstyp auswählen"
"Select entities","Entitäten auswählen"
"Entity Type",Entitätstyp
"Entity ID",Entitäts-ID
"No entities attached","Keine Entitäten angehängt"
"File successfully attached","Datei erfolgreich angehängt"
"File attachment failed","Beim Dateianhang ist ein Fehler aufgetreten"
"Start typing to search...","Tippen Sie, um zu suchen..."
"You are trying to delete file","Sie versuchen, die Datei zu löschen"
"Deleting this file will delete all the links to the attached entities. Do you want to proceed?","Durch das Löschen dieser Datei werden alle Verknüpfungen zu den angehängten Entitäten gelöscht. Möchten Sie fortfahren?"
